"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2019年5月28日","4.27","4.25","4.32","4.25","45.95M","0.47%"
"2019年5月27日","4.25","4.18","4.27","4.14","62.16M","1.67%"
"2019年5月24日","4.18","4.18","4.22","4.15","39.05M","0.24%"
"2019年5月23日","4.17","4.26","4.27","4.16","55.36M","-2.80%"
"2019年5月22日","4.29","4.31","4.33","4.26","38.03M","-0.69%"
"2019年5月21日","4.32","4.24","4.35","4.22","56.67M","2.13%"
"2019年5月20日","4.23","4.26","4.27","4.19","54.02M","-1.17%"
"2019年5月17日","4.28","4.41","4.42","4.26","52.72M","-2.95%"
"2019年5月16日","4.41","4.40","4.42","4.37","44.06M","0.23%"
"2019年5月15日","4.40","4.33","4.43","4.33","55.36M","2.56%"
"2019年5月14日","4.29","4.25","4.34","4.25","43.82M","-0.69%"
"2019年5月13日","4.32","4.33","4.36","4.30","41.65M","-1.59%"
"2019年5月10日","4.39","4.25","4.39","4.20","71.80M","4.28%"
"2019年5月9日","4.21","4.26","4.27","4.18","51.15M","-1.41%"
"2019年5月8日","4.27","4.26","4.36","4.24","42.05M","-1.39%"
"2019年5月7日","4.33","4.27","4.37","4.25","60.56M","1.88%"
"2019年5月6日","4.25","4.40","4.48","4.21","80.79M","-7.21%"
"2019年4月30日","4.58","4.56","4.61","4.55","43.80M","0.00%"
"2019年4月29日","4.58","4.62","4.66","4.56","66.42M","-0.87%"
"2019年4月26日","4.62","4.67","4.69","4.61","73.57M","-1.49%"
"2019年4月25日","4.69","4.78","4.81","4.68","63.08M","-2.49%"
"2019年4月24日","4.81","4.79","4.82","4.71","73.55M","0.84%"
"2019年4月23日","4.77","4.79","4.82","4.75","51.52M","-0.42%"
"2019年4月22日","4.79","4.89","4.89","4.77","56.66M","-2.04%"
"2019年4月19日","4.89","4.81","4.90","4.78","60.89M","1.45%"
"2019年4月18日","4.82","4.83","4.85","4.81","33.84M","-0.21%"
"2019年4月17日","4.83","4.81","4.87","4.79","57.83M","0.42%"
"2019年4月16日","4.81","4.68","4.82","4.64","67.01M","2.34%"
"2019年4月15日","4.70","4.80","4.86","4.69","50.05M","-0.63%"
"2019年4月12日","4.73","4.72","4.76","4.69","37.94M","-0.21%"
"2019年4月11日","4.74","4.87","4.88","4.73","63.81M","-2.87%"
"2019年4月10日","4.88","4.85","4.93","4.82","69.72M","0.41%"
"2019年4月9日","4.86","4.81","4.87","4.78","127.50M","1.25%"
"2019年4月8日","4.80","4.87","4.90","4.75","65.08M","-0.83%"
"2019年4月4日","4.84","4.80","4.85","4.78","60.14M","1.04%"
"2019年4月3日","4.79","4.74","4.80","4.71","63.70M","0.84%"
"2019年4月2日","4.75","4.82","4.82","4.73","56.72M","-0.84%"
"2019年4月1日","4.79","4.64","4.79","4.64","57.25M","3.90%"
"2019年3月29日","4.61","4.42","4.62","4.42","69.40M","4.06%"
"2019年3月28日","4.43","4.43","4.48","4.41","46.71M","-0.23%"
"2019年3月27日","4.44","4.40","4.45","4.38","68.96M","1.60%"
"2019年3月26日","4.37","4.46","4.48","4.37","53.57M","-1.35%"
"2019年3月25日","4.43","4.46","4.53","4.43","45.23M","-2.42%"
"2019年3月22日","4.54","4.53","4.54","4.45","45.47M","0.22%"
"2019年3月21日","4.53","4.52","4.56","4.50","43.39M","0.00%"
"2019年3月20日","4.53","4.52","4.55","4.46","54.50M","-0.44%"
"2019年3月19日","4.55","4.58","4.58","4.52","44.25M","-0.66%"
"2019年3月18日","4.58","4.42","4.58","4.40","71.18M","3.62%"
"2019年3月15日","4.42","4.36","4.47","4.36","70.58M","1.84%"
"2019年3月14日","4.34","4.37","4.41","4.30","60.62M","-0.91%"
"2019年3月13日","4.38","4.48","4.48","4.36","56.54M","-2.23%"
"2019年3月12日","4.48","4.46","4.54","4.42","64.10M","0.67%"
"2019年3月11日","4.45","4.31","4.46","4.31","65.43M","3.01%"
"2019年3月8日","4.32","4.30","4.46","4.30","69.51M","-3.14%"
"2019年3月7日","4.46","4.51","4.52","4.42","81.19M","-1.55%"
"2019年3月6日","4.53","4.50","4.53","4.45","80.77M","0.67%"
"2019年3月5日","4.50","4.40","4.50","4.39","60.43M","1.81%"
"2019年3月4日","4.42","4.37","4.51","4.36","76.01M","2.31%"
"2019年3月1日","4.32","4.27","4.32","4.23","54.98M","1.89%"
"2019年2月28日","4.24","4.22","4.26","4.20","64.81M","0.47%"
"2019年2月27日","4.22","4.27","4.30","4.17","74.22M","-1.40%"
"2019年2月26日","4.28","4.35","4.37","4.24","67.44M","-1.61%"
"2019年2月25日","4.35","4.15","4.36","4.14","68.87M","6.36%"
"2019年2月22日","4.09","3.98","4.09","3.96","74.92M","2.76%"
"2019年2月21日","3.98","3.99","4.06","3.96","72.70M","-0.25%"
"2019年2月20日","3.99","3.96","4.00","3.94","61.60M","0.76%"
